Source Title,Source URL,Publisher,Service Category,Azure Service,Document Type,Authority Level,Date Accessed,Last Updated (If Available),Evidence Summary,Explicit / Implied / Incomplete,Confidence,Notes
Reliability in Azure Application Gateway v2,https://learn.microsoft.com/en-us/azure/reliability/reliability-application-gateway-v2,Microsoft Learn,"Identity, Security, and Platform Dependencies",Azure Application Gateway,Reliability guide,High,2026-03-27,2026-01-22,"Documents built-in multi-instance HA, zone redundancy, and regional outage considerations for Application Gateway v2.",Explicit,High,Primary Application Gateway source.
Reliability in Azure API Management,https://learn.microsoft.com/en-us/azure/api-management/high-availability,Microsoft Learn,Integration and Messaging,API Management,Reliability guide,High,2026-03-27,2025-08-11,"Documents scale units, Premium classic zone support, multi-region deployment, and tier-specific limitations.",Explicit,High,Primary APIM HA and DR source.
Enable Availability Zones for Azure API Management instances,https://learn.microsoft.com/en-us/azure/api-management/enable-availability-zone-support,Microsoft Learn,Integration and Messaging,API Management,How-to guide,High,2026-03-27,2025-11-18,Confirms Premium and Premium v2 applicability for availability zone configuration details.,Explicit,Medium,Useful support source for tier nuance.
Reliability in Azure virtual network gateways,https://learn.microsoft.com/en-us/azure/reliability/reliability-virtual-network-gateway,Microsoft Learn,"Identity, Security, and Platform Dependencies",Azure VPN Gateway,Reliability guide,High,2026-03-27,2026-01-22,"Documents zone redundancy, active-active guidance, and customer responsibility for overall VPN connectivity architecture.",Explicit,High,Primary VPN Gateway reliability source.
Design highly available gateway connectivity for cross-premises and VNet-to-VNet connections,https://learn.microsoft.com/en-us/azure/vpn-gateway/vpn-gateway-highlyavailable,Microsoft Learn,"Identity, Security, and Platform Dependencies",Azure Site-to-Site VPN,Architecture guide,High,2026-03-27,2025-03-31,"Explains active-standby default behavior, active-active design, multiple on-prem devices, and 4-tunnel HA topologies.",Explicit,High,Primary S2S/VPN HA architecture source.
Architecture best practices for Azure Virtual WAN,https://learn.microsoft.com/en-us/azure/well-architected/service-guides/azure-virtual-wan,Microsoft Learn,"Identity, Security, and Platform Dependencies",Azure Virtual WAN,Well-Architected service guide,High,2026-03-27,2026-02-26,"Documents zone, connection, and route-level redundancy plus multi-hub multi-region design guidance for Virtual WAN.",Explicit,High,Primary Virtual WAN reliability source.
Azure Virtual WAN FAQ,https://learn.microsoft.com/en-us/azure/virtual-wan/virtual-wan-faq,Microsoft Learn,"Identity, Security, and Platform Dependencies",Azure Virtual WAN,Product documentation,High,2026-03-27,2025-12-17,Confirms gateways in a hub are active-active and resiliency across regions requires multiple hubs.,Explicit,High,Useful for concise resiliency statements.
Virtual WAN network topology in an Azure landing zone,https://learn.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/virtual-wan-network-topology,Microsoft Learn,"Identity, Security, and Platform Dependencies",Azure Virtual WAN,Architecture guide,High,2026-03-27,2025-10-23,Provides best-fit official architecture for multi-region hub-and-spoke Virtual WAN design.,Explicit,High,Primary diagram source for Virtual WAN.
Reliability in Microsoft Fabric,https://learn.microsoft.com/en-us/azure/reliability/reliability-fabric,Microsoft Learn,AI / Platform Services,Microsoft Fabric,Reliability guide,High,2026-03-27,2026-01-22,"Documents partial availability zone support, OneLake cross-region replication options, and failover behavior limits across experiences.",Explicit,High,Primary Fabric reliability source.
Experience-specific disaster recovery guidance,https://learn.microsoft.com/en-us/fabric/security/experience-specific-guidance,Microsoft Learn,AI / Platform Services,Microsoft Fabric,Disaster recovery guide,High,2026-03-27,2026-03-14,Documents experience-specific recovery constraints and customer actions after Fabric failover.,Explicit,High,Primary Fabric DR caveat source.
Business continuity and disaster recovery for Dynamics 365 SaaS apps,https://learn.microsoft.com/en-us/power-platform/admin/business-continuity-disaster-recovery,Microsoft Learn,Business Applications,Dynamics 365 (D365),BCDR guide,High,2026-03-27,2025-11-05,"Documents built-in in-region availability-zone resilience, self-service DR support by app, and notable exclusions or preview limitations.",Explicit,High,Primary D365 source.
Reliability in Azure AI Search,https://learn.microsoft.com/en-us/azure/search/search-reliability,Microsoft Learn,AI / Platform Services,Azure AI Services,Reliability guide,Medium,2026-03-27,2026-01-22,"Provides one authoritative Azure AI service reliability model: replica-based HA, zone support, and customer-managed multi-region design.",Explicit,Medium,Used as a representative AI service source because generic Azure AI Services reliability guidance is incomplete.
Baseline Azure AI Foundry chat reference architecture,https://learn.microsoft.com/en-us/azure/architecture/ai-ml/architecture/baseline-openai-e2e-chat?source=recommendations,Microsoft Learn,AI / Platform Services,Azure AI Services,Architecture guide,Medium,2026-03-27,,States the baseline design is single-region and requires extra components and processes for regional resiliency and DR.,Explicit,Medium,Used to frame AI workload DR beyond a single service instance.
Language service supported regions,https://learn.microsoft.com/en-ca/azure/ai-services/language-service/concepts/regional-support,Microsoft Learn,AI / Platform Services,Azure AI Services,Regional support guide,Medium,2026-03-27,2025-05-09,Shows Azure AI services have region-specific capability support and do not process data outside the deployed region.,Explicit,Medium,Supports the warning that AI services guidance is service-specific and region-dependent.
Reliability in Azure Kubernetes Service (AKS),https://learn.microsoft.com/en-us/azure/reliability/reliability-aks,Microsoft Learn,Compute,Azure Kubernetes Service (AKS),Reliability guide,High,2026-03-28,2026-01-22,"Documents shared responsibility, zone-resilient control plane, node pool design requirements, single-region limitation, Fleet Manager multi-region guidance, and backup patterns.",Explicit,High,Primary AKS reliability source.
Reliability in Azure Functions,https://learn.microsoft.com/en-gb/azure/reliability/reliability-functions,Microsoft Learn,Compute,Azure Functions,Reliability guide,High,2026-03-28,2026-01-22,Documents hosting-plan-specific zone support and multi-region active-active versus active-passive DR patterns.,Explicit,High,Primary Functions HA/DR source.
Reliability in Azure Key Vault,https://learn.microsoft.com/en-us/azure/reliability/reliability-key-vault,Microsoft Learn,"Identity, Security, and Platform Dependencies",Azure Key Vault,Reliability guide,High,2026-03-28,2026-01-22,Documents default zone redundancy in supported regions and Microsoft-managed paired-region failover limits plus custom multi-region alternatives.,Explicit,High,Primary Key Vault source.
Business Continuity and Disaster Recovery (BCDR) considerations with Azure OpenAI in Azure AI Foundry Models,https://learn.microsoft.com/azure/ai-services/openai/how-to/business-continuity-disaster-recovery,Microsoft Learn,AI / Platform Services,Azure OpenAI,BCDR guide,High,2026-03-28,2025-09-30,Documents that resilient Azure OpenAI requires at least two regional resources and recommends Global Standard or Data Zone patterns plus gateway-based failover.,Explicit,High,Primary Azure OpenAI BCDR source.
