Service Category,Azure Service,Workload Category,Deployment Model / SKU,Stateful or Stateless,Criticality Options,Supports Availability Zones,Supports Cross Region Replication,Native Failover Capability,Typical Pattern Notes,Region / Zone Notes,Status
"Identity, Security, and Platform Dependencies",Azure DNS / Private DNS / DNS Resolver,Networking,PaaS,Stateful and Stateless,Critical|Important|Standard,Service-specific,Service-specific,Platform plus customer-managed,Assess control plane vs resolution path resiliency,Validate per service,Planned
"Identity, Security, and Platform Dependencies",Azure Front Door,Networking,PaaS,Stateless,Critical|Important|Standard,Global service,Global service,Native,Assess global routing and origin failover,Validate by SKU,First pass complete
"Identity, Security, and Platform Dependencies",Azure Traffic Manager,Networking,PaaS,Stateless,Critical|Important|Standard,Global service,Global service,Native,Assess DNS failover and TTL implications,Validate by profile type,Planned
"Identity, Security, and Platform Dependencies",Application Gateway,Networking,PaaS,Stateless,Critical|Important|Standard,Unknown,Customer-implemented,Native plus customer-managed,Assess zone and regional duplication strategies,Validate by SKU and region,First pass complete
"Identity, Security, and Platform Dependencies",Load Balancer,Networking,PaaS,Stateless,Critical|Important|Standard,Unknown,Customer-implemented,Native plus customer-managed,Assess zonal frontend and regional DR dependencies,Validate by SKU and region,Planned
AI / Platform Services,Azure AI Foundry related dependencies,AI Platform,PaaS,Stateful and Stateless,Critical|Important|Standard,Service-specific,Service-specific,Customer-managed plus service features,Assess dependency chain rather than single-service DR assumptions,Validate by component,Planned
AI / Platform Services,Azure OpenAI,AI Platform,PaaS,Stateful and Stateless,Critical|Important|Standard,Service-specific,Service-specific,Service plus customer-managed,Assess deployment redundancy and quota/region constraints,Validate by model and region,First pass complete
"Identity, Security, and Platform Dependencies",Azure Virtual WAN,Networking,PaaS,Stateful and Stateless,Critical|Important|Standard,Service-specific,Service-specific,Platform plus customer-managed,"Assess hub resiliency, branch connectivity, and regional topology",Validate by region and hub type,First pass complete
"Identity, Security, and Platform Dependencies",Azure VPN Gateway,Networking,PaaS,Stateful and Stateless,Critical|Important|Standard,Service-specific,Customer-implemented,Native plus customer-managed,Assess active-active gateways and cross-region DR pattern,Validate by SKU and region,First pass complete
"Identity, Security, and Platform Dependencies",Azure Site-to-Site VPN,Networking,Hybrid connectivity,Stateful and Stateless,Critical|Important|Standard,Customer-implemented,Customer-implemented,Customer-managed,"Assess tunnel redundancy, on-premises device resilience, and alternate path design",Validate by gateway and device support,First pass complete
AI / Platform Services,Azure AI Services,AI Platform,PaaS,Stateful and Stateless,Critical|Important|Standard,Service-specific,Service-specific,Service plus customer-managed,Assess per-service resiliency guidance and regional deployment redundancy,Validate by service and region,First pass complete
AI / Platform Services,Microsoft Fabric,Analytics / SaaS,SaaS,Stateful and Stateless,Critical|Important|Standard,Service-specific,Service-specific,Microsoft-managed plus customer-managed,"Assess tenant, capacity, and data placement continuity guidance",Validate by workload and region,First pass complete
Business Applications,Dynamics 365 (D365),Business Apps,SaaS,Stateful and Stateless,Critical|Important|Standard,Service-specific,Service-specific,Microsoft-managed plus customer-managed,"Assess service continuity model, integration dependencies, and environment strategy",Validate by workload and geography,First pass complete
